TEST ID;consent;What language can you program in? (List the different languages separated by a comma);How do you rate your knowledge of relational databases (e.g., MySQL))?(1 = never heard of it, 5 = can use it in a professional environment);How do you rate your knowledge of NoSQL databases (e.g., MongoDB, Cassandra)?(1 = never heard of it, 5 = can use it in a professional environment);Which one in particular?;How do you rate your knowledge of other graph structures beside property graphs (e.g., RDF and SPARQL)?(1 = never heard of it, 5 = can use it in a professional environment);Are you knowledgable of any of the following graph query languages?;Q1;Q2;Q3;Q4;Q5;Schema;Properties;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15
student-27;Accept;C,C#,C++,Java, Python, PHP, R, JS, Angular, TypeScript...;4;4;Apache Cassandra, MongoDB, Couchbase;2;SQL/PGQ;Correct;Correct;Correct;Correct;0;1;0;Semantic Return | Missing Distinct;Semantic Return | Wrong information (count instead of list);Semantic Pattern, Semantic Where, Semantic Return | Wrong Edge Direction, Wrong Property, Wrong Operator, Wrong Information;Semantic Where | Wrong Operator (> instead of >=);Semantic Where , Semantic Return | Missing Condition, Missing Information;Correct;Semantic Pattern | Wrong Edge Direction;Semantic Pattern, Semantic Return | Additional Node, Missing Information;Correct;Complication | Added With 
student-28;Accept;C#, JS, TS, C/C++, python;4;2;MongoDB;3;OpenCypher;Correct;Correct;Correct;Correct;2;INVALID;INVALID;Semantic Return | Missing Distinct;Semantic Return | Wrong information (count instead of list);Semantic Pattern, Semantic Where | Wrong Edge Direction, Wrong Property;Complication | Additional Information;Semantic Where , Semantic Return | Missing Condition, Missing Information;Correct;Semantic Pattern | Wrong Edge Direction;Semantic Pattern, Semantic Return | Additional Node, Missing Information;Correct;Complication | Added With
student-29;Accept;Javascript, Java, PHP, C, OCaml, C#, Dart;5;2;MongoDB;1;;Other;Other;Complication | Added Collect, Added With, Added Unwind;Complication | Added With, Added Collect;1;INVALID;INVALID;Complication | Added Collect in return shape;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Edge Direction, Wrong Property, Wrong Operator, Wrong Information;Semantic Where | Wrong Operator (> instead of >=);Semantic Return | Wrong Information;Complication | Added Size(collect);Semantic Pattern | Wrong Edge Direction, Additional Node;Semantic Return | Missing Limit, Missing Information;Correct;Semantic Where, Semantic Return | Wrong Operator, Missing Information
student-30;Accept;Java, C/C++, Python;2;2;MongoDB;1;;Correct;Correct;Complication | Added Collect, Added With, Added Unwind;Complication | Added With, Added Collect;1;INVALID;INVALID;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Where, Semantic Return | Wrong Property, Wrong Information;Correct;Semantic Where | Missing Condition;Correct;Correct;Semantic Return | Missing Limit, Missing Information;Correct;Semantic Pattern, Semantic Return | Wrong Edge Direction, Missing Information, Missing Limit
student-33;Accept;C, SQL, Cypher, Python, OCaml, C#, C++, Java, JavaScript, R, ProLog;4;2;Other;1;OpenCypher, GraphQL, SQL/PGQ;Correct;Correct;Correct;Correct;1;1;1;Correct;Correct;Semantic Pattern,Semantic Return | Wrong Edge Direction, Wrong Information;Semantic Pattern | Missing Node;Semantic Return | Missing Information;Correct;Semantic Pattern | Wrong Edge Direction;Semantic Return | Missing Limit, Missing Information;Correct;Semantic Pattern, Semantic Return | Missing Node, Missing Information
student-34;Accept;C,C#,OCaml,Python,Lisp;4;2;Other;1;SQL/PGQ;Correct;Correct;Correct;Correct;1;1;1;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Correct;Semantic Where, Semantic Return | Missing Condition, Wrong Information;Correct;Semantic Pattern | Wrong Edge Direction;Semantic Return | Missing Limit, Missing Information;Semantic Pattern | Missing Node Label;Semantic Return | Missing Information, Wrong Information
student-35;Accept;Python, java, C#, C, C++, dart, R,;5;3;Other;2;OpenCypher;Correct;Correct;Correct;Correct;3;1;1;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Where | Missing Condition;Semantic Where, Semantic Return | Missing Condition, Wrong Information;Semantic Pattern | Wrong Edge Label (not capital letter);Semantic Pattern | Wrong Edge Label (not capitalized);No Answer;Semantic Pattern | Wrong Edge Label (not capitalized);No Answer
student-36;Accept;C,C++,C#,Java,Shell,Bash,Python,Ocaml,RSC-V,html,css;3;3;Other;3;OpenCypher, SQL/PGQ;Correct;Correct;Complication | Added Collect;Complication | Added Unwind, Added Collect;1;1;1;Semantic Return | Wrong Distinct (on couple name,id);Semantic Return | Wrong Distinct (on couple name,id);Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Return | Wrong Information;Complication | Added Collect;Complication | Added Size(collect);Semantic Pattern | Wrong Edge Direction;Semantic Return |Missing Limit;Correct;No Answer
student-38;Accept;JavaScript , Java , C , C++ , Python , HTML;4;3;MongoDB;3;OpenCypher;Correct;Correct;Correct;Correct;3;0.947;1;Complication | Added Collect in return shape;Complication | Added Collect in return shape;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Correct;Semantic Where , Semantic Return | Missing Condition, Missing Information;Correct;Semantic Pattern | Wrong Edge Direction;No Answer;No Answer;No Answer
student-45;Accept;python , c , java;3;2;MongoDB, Redis;2;GraphQL, SPARQL;Correct;SyntaxError;Complication | Added Collect, Added With, Added Unwind;Complication | Added Collect, Added With, Added Unwind;1;1;0;;;;;;Semantic Where | Missing Condition;Semantic Pattern | Wrong Edge Direction;Semantic Return | Missing Limit, Missing Information;Correct;No Answer
student-48;Accept;Python, C, C++, Java, SQL;5;3;MongoDB;3;SPARQL;Correct;Correct;Correct;Correct;2;1;0;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Pattern, Wrong Property, Wrong Information;Semantic Where | Missing Condition;Semantic Return | Wrong Information;Correct;Semantic Pattern | Wrong Edge Direction;Semantic Return | Missing Limit, Missing Information;Correct;Correct
student-53;Accept;C, JAVA, PYTHON;4;3;Other;4;SPARQL;Correct;Correct;Semantic Return | Missing Distinct;Semantic Return | Missing Distinct;2;INVALID;INVALID;Semantic Return | Missing Distinct;Complication | Added Collect in return shape;Semantic Return | Wrong Information;Semantic Where | Wrong Condition;Complication | Added Collect;Semantic Pattern | Wrong Edge Direction;Semantic Pattern | Wrong Edge Direction;Semantic Return | Missing Limit, Missing Information;No Answer;No Answer
student-54;Accept;java, ocaml, pyhton;4;4;Redis, Other;3;OpenCypher, SQL/PGQ, SPARQL;Correct;Correct;Correct;Correct;1;1;0;Correct;Correct;Semantic Pattern, Semantic Where, Semantic Return | Wrong Edge Direction, Wrong Property, Missing Distinct, Missing Information;Semantic Pattern | Missing Node;Semantic Where , Semantic Return | Missing Condition, Missing Information;Correct;Semantic Pattern | Wrong Edge Direction;Semantic Return | Missing Limit, Missing Information;Correct;Semantic Pattern, Semantic Where | Missing Condition, 
